"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-541 0.0711144646521052 2 149 "GO:0001775;GO:0045321" "cell activation" 0.365123901161674
-420 0.796443230788604 3 5 "GO:0001776;GO:0002260;GO:0043029" "leukocyte homeostasis" 0.943557139591964
-1172 0.430254964232363 2 6 "GO:0001778" "plasma membrane repair" 0.76980725310112
-2241 0.0514977755647648 3 10 "GO:0001816" "cytokine production" 0.31417861495309
-219 0.505589506396335 4 123 "GO:0001817" "regulation of cytokine production" 0.80524095297906
-392 0.393450990224243 3 63 "GO:0001818" "negative regulation of cytokine production" 0.741449158473122
-47 0.923884649042299 2 55 "GO:0001819" "positive regulation of cytokine production" 0.978287097598285
558 0.371978003968297 3 34 "GO:0001822" "kidney development" 0.730323316923039
-1721 0.290024345445255 3 5 "GO:0001824" "blastocyst development" 0.657072672589229
-1617 0.239513290826431 3 7 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.608028876894332
-1418 0.383478025561255 2 5 "GO:0001838;GO:0072175" "embryonic epithelial tube formation" 0.736753761746566
-256 0.747633907761386 3 21 "GO:0001843;GO:0060606" "tube closure" 0.920432799990115
1105 0.154691876307968 2 22 "GO:0001845" "phagolysosome assembly" 0.519287198924497
947 0.523927685556469 2 6 "GO:0001867;GO:0006958" "complement activation, lectin pathway" 0.813656383370701
-1401 0.308135864585931 2 7 "GO:0001885;GO:0061028" "endothelial cell development" 0.674913459747012
-1482 0.0213261903485403 5 32 "GO:0001889" "liver development" 0.196062195638577
956 0.486901946063107 4 7 "GO:0001890" "placenta development" 0.80019776731977
-1536 0.0028758050244721 2 50 "GO:0001894" "tissue homeostasis" 0.0644437090562857
-3785 0.0199855715708753 3 5 "GO:0001895" "retina homeostasis" 0.190923617487721
-511 0.586787830293055 2 15 "GO:0001906" "cell killing" 0.84207078326591
-2466 0.0968520545959145 3 6 "GO:0001910;GO:0001914" "regulation of leukocyte mediated cytotoxicity" 0.420868033290883
-927 0.444807042213215 2 9 "GO:0001919" "regulation of receptor recycling" 0.776877544241901
-1303 0.380242799949791 5 6 "GO:0001921" "positive regulation of receptor recycling" 0.733732607874447
-228 0.128958537349986 2 615 "GO:0001932;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 0.47829551809722
-155 0.555562119256943 3 195 "GO:0001933;GO:0042326;GO:0045936;GO:0010563" "negative regulation of phosphorus metabolic process" 0.828877245450873
-22 0.902237908814461 5 409 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.975594383016362
420 0.702128792352097 3 11 "GO:0001935" "endothelial cell proliferation" 0.899527498817316
958 0.263933411105712 2 18 "GO:0001936" "regulation of endothelial cell proliferation" 0.630541146897857
2658 0.10233867975535 3 5 "GO:0001937" "negative regulation of endothelial cell proliferation" 0.427794120779121
304 0.763575627869243 2 13 "GO:0001938" "positive regulation of endothelial cell proliferation" 0.928872752891479
-3047 0.0611274718547581 2 5 "GO:0001944" "vasculature development" 0.333757621875777
-92 0.904063822489946 4 23 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.975756012268166
-579 0.417822944744023 2 26 "GO:0001952" "regulation of cell-matrix adhesion" 0.760937033253833
-939 0.334467533212046 2 14 "GO:0001953;GO:0010812" "negative regulation of cell-substrate adhesion" 0.699417335349777
-318 0.816975786558013 2 7 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.947835093357624
-399 0.8062350857837 3 5 "GO:0001955;GO:0051151" "blood vessel maturation" 0.946367772643217
-640 0.336054882882406 3 30 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.700103569526043
-1278 0.116252897469445 3 20 "GO:0001960;GO:0060761" "negative regulation of cytokine-mediated signaling pathway" 0.457739266584693
-1047 0.281554633274675 3 14 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 0.648165462268491
-865 0.594842408103514 3 5 "GO:0001973;GO:0035588" "G protein-coupled purinergic receptor signaling pathway" 0.846797238584648
135 0.921874072917372 3 7 "GO:0001990;GO:0003044;GO:0050886;GO:0003073" "regulation of systemic arterial blood pressure" 0.978181950159501
-356 0.317280458494658 2 105 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.682618853515555
32 0.966519105834982 2 23 "GO:0002027;GO:0086065;GO:1903779" "regulation of heart rate" 0.990339915521848
1109 0.127772453902223 2 25 "GO:0002028" "regulation of sodium ion transport" 0.475136035169798
360 0.824951055141691 2 5 "GO:0002062" "chondrocyte differentiation" 0.951130758219686
-1442 0.294429390910597 2 7 "GO:0002063" "chondrocyte development" 0.662109389576011
-447 0.480583625801186 2 33 "GO:0002064" "epithelial cell development" 0.795390411809311
474 0.590997282239448 2 17 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.846076328636248
-2453 0.131666083782305 4 5 "GO:0002070" "epithelial cell maturation" 0.48020279036252
180 0.863848421228383 3 12 "GO:0002082" "regulation of oxidative phosphorylation" 0.965586457989756
-312 0.808348621148484 3 8 "GO:0002084;GO:0098734" "protein depalmitoylation" 0.946367772643217
-142 0.865241025424495 3 19 "GO:0002090" "regulation of receptor internalization" 0.965897765163416
48 0.974519167401052 2 6 "GO:0002091" "negative regulation of receptor internalization" 0.992907078090321
140 0.913316314215429 3 8 "GO:0002092" "positive regulation of receptor internalization" 0.977386625907179
-525 0.508634623709969 3 21 "GO:0002097" "tRNA wobble base modification" 0.80710587155458
385 0.692304365376808 6 14 "GO:0002098" "tRNA wobble uridine modification" 0.89673170899924
-2747 0.032739004496742 2 8 "GO:0002100;GO:0006382;GO:0016553" "adenosine to inosine editing" 0.242168201269314
-729 0.298478910595725 4 27 "GO:0002119;GO:0002164" "larval development" 0.666906329934589
-1790 0.192923498044217 6 7 "GO:0002138" "retinoic acid biosynthetic process" 0.563515913278099
-319 0.464828417700113 5 70 "GO:0002181" "cytoplasmic translation" 0.785561907048026
953 0.158524149584777 3 29 "GO:0002183" "cytoplasmic translational initiation" 0.524146356821875
877 0.495627134882597 2 8 "GO:0002184" "cytoplasmic translational termination" 0.803722159255888
1044 0.178680067430066 2 22 "GO:0002200;GO:0016445" "somatic diversification of immune receptors" 0.546643195302532
-420 0.715303623918551 4 10 "GO:0002204;GO:0002208;GO:0002312;GO:0045190" "B cell activation involved in immune response" 0.906579804767957
91 0.871831732409174 2 42 "GO:0002218" "activation of innate immune response" 0.967972516578688
24 0.979344322630198 5 15 "GO:0002220;GO:0002223;GO:0002479;GO:0042590;GO:0033209;GO:0038061;GO:0038095;GO:0060071" "stimulatory C-type lectin receptor signaling pathway" 0.992907078090321
-619 0.509990979918483 4 15 "GO:0002221" "pattern recognition receptor signaling pathway" 0.807177671248603
649 0.613832859503802 4 8 "GO:0002225;GO:0002760;GO:0002784" "regulation of antimicrobial peptide production" 0.855561784005604
2983 0.0300436151527643 3 7 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.233168788527344
393 0.366997677216389 2 70 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 0.727500254202267
-1266 0.296443951577342 4 9 "GO:0002238" "response to molecule of fungal origin" 0.664492722376264
-649 0.354623371416092 4 27 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.719336093125483
277 0.657766109260326 2 34 "GO:0002250" "adaptive immune response" 0.878917588968069
-711 0.662279965222706 2 5 "GO:0002251;GO:0002385" "organ or tissue specific immune response" 0.881728446533087
-440 0.11532900108171 2 172 "GO:0002252" "immune effector process" 0.456939192141576
90 0.838000799746218 5 68 "GO:0002253" "activation of immune response" 0.955786237902187
-803 0.0349070278778461 3 92 "GO:0002274;GO:0002263;GO:0002366;GO:0002275;GO:0002283;GO:0042119;GO:0036230;GO:0043299;GO:0043312" "cell activation involved in immune response" 0.252200256778348
269 0.782011702887011 4 14 "GO:0002285" "lymphocyte activation involved in immune response" 0.938532576300265
-180 0.292615570098488 1 472 "GO:0002376" "immune system process" 0.659354859118079
1678 0.302246761573863 2 5 "GO:0002377" "immunoglobulin production" 0.668683749033768
-337 0.793393087450028 11 8 "GO:0002407;GO:0036336;GO:0032060;GO:0061588;GO:0061589;GO:0061590;GO:0061591;GO:2000351" "calcium activated phosphatidylserine scrambling" 0.942303152793421
-61 0.925073694874065 2 32 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.978745312843703
-1824 0.219547384888229 3 6 "GO:0002433" "immune response-regulating cell surface receptor signaling pathway involved in phagocytosis" 0.597030828349864
1011 0.462241994782159 4 7 "GO:0002440" "production of molecular mediator of immune response" 0.784292079046149
467 0.7743186661239 3 5 "GO:0002449;GO:0002443" "lymphocyte mediated immunity" 0.934354414111713
1886 0.246391499816999 3 5 "GO:0002460" "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 0.6174287925253
770 0.482891272870757 2 11 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.797056899410388
595 0.378581478114331 2 29 "GO:0002478;GO:0019884;GO:0048002" "antigen processing and presentation of peptide antigen" 0.733732607874447
306 0.728778836673179 4 17 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide antigen via MHC class II" 0.910919012854593
531 0.440728816684498 2 28 "GO:0002521;GO:1903131" "leukocyte differentiation" 0.774224152521764
-166 0.879990970847043 2 11 "GO:0002526" "acute inflammatory response" 0.970571862376556
1151 0.192156557549025 5 17 "GO:0002562;GO:0016444;GO:0016447" "somatic diversification of immune receptors via germline recombination within a single locus" 0.56272495394441
1924 0.0794154974421089 4 11 "GO:0002566;GO:0016446" "somatic hypermutation of immunoglobulin genes" 0.382894630291444
1108 0.272211629309285 5 13 "GO:0002573" "myeloid leukocyte differentiation" 0.63826825603345
866 0.475086520037524 3 9 "GO:0002576" "platelet degranulation" 0.79244248919844
1359 0.323173479119619 2 7 "GO:0002637;GO:0045191" "regulation of immunoglobulin production" 0.686142775002229
-490 0.67012601522417 3 10 "GO:0002673" "regulation of acute inflammatory response" 0.885779173252761
-1356 0.361340279481771 3 6 "GO:0002675" "positive regulation of acute inflammatory response" 0.724763211871218
53 0.79205932659935 3 330 "GO:0002682" "regulation of immune system process" 0.941879164384874
-140 0.682898602578714 2 113 "GO:0002683" "negative regulation of immune system process" 0.890626035093289
-249 0.367901170548022 2 175 "GO:0002684" "positive regulation of immune system process" 0.728297836165355
-1154 0.0479652406036518 3 39 "GO:0002685;GO:0002688" "regulation of leukocyte migration" 0.301660910784413
293 0.843756623014169 4 6 "GO:0002686;GO:0002689" "negative regulation of leukocyte migration" 0.958560878701409
-1592 0.0206715860506626 4 28 "GO:0002687;GO:0002690" "positive regulation of leukocyte migration" 0.193859219435926
212 0.625955158097608 2 70 "GO:0002694;GO:0051249" "regulation of leukocyte activation" 0.860090543510267
-5 0.993652246834127 2 34 "GO:0002695;GO:0051250" "negative regulation of leukocyte activation" 0.997857166633331
553 0.405536373292711 3 30 "GO:0002696;GO:0050867;GO:0051251" "positive regulation of cell activation" 0.750008810837184
163 0.67330935192604 4 89 "GO:0002697" "regulation of immune effector process" 0.886349504135687
31 0.963858271624907 2 29 "GO:0002698" "negative regulation of immune effector process" 0.990339915521848
-593 0.322197792263959 2 37 "GO:0002699" "positive regulation of immune effector process" 0.686142775002229
547 0.535521228203293 3 17 "GO:0002700;GO:0002702" "regulation of production of molecular mediator of immune response" 0.81737016413438
-372 0.58266264284599 2 29 "GO:0002703;GO:0002706;GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.840824016469573
806 0.587596713321689 2 6 "GO:0002704;GO:0002707;GO:0002823" "negative regulation of leukocyte mediated immunity" 0.842652429543741
-525 0.508326599543075 3 21 "GO:0002705;GO:0002708;GO:0002824;GO:0002821" "positive regulation of adaptive immune response" 0.80710587155458
-978 0.395522367221058 4 10 "GO:0002709" "regulation of T cell mediated immunity" 0.742439590952273
-2642 0.0752246318770674 3 6 "GO:0002711" "positive regulation of T cell mediated immunity" 0.373321545326931
